Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA
P1,12/23/2024,08:45:00 PM,Estrela,Rio Ave,1,0,H,1,0,H,8,19,4,6,17,16,5,6,4,3,0,0,2.38,3.21,3.15,2.13,1.73,2.04,1.83
P1,12/27/2024,08:15:00 PM,Arouca,Gil Vicente,1,1,D,0,0,D,10,7,5,3,21,11,5,7,0,1,0,0,2.39,3.12,3.39,2.44,1.6,2.03,1.88
P1,12/28/2024,03:30:00 PM,AVS,Estrela,1,1,D,0,1,A,12,16,6,5,13,12,7,6,2,2,0,0,2.5,3.08,3.07,2.33,1.63,2.14,1.76
P1,12/28/2024,06:00:00 PM,Estoril,Moreirense,2,2,D,2,1,H,15,8,7,5,17,14,6,2,2,2,0,0,3.22,3.02,2.45,2.55,1.53,1.8,2.09
P1,12/28/2024,08:30:00 PM,Porto,Boavista,4,0,H,1,0,H,13,4,7,1,12,15,4,1,4,2,0,0,1.11,9.45,19.48,1.42,2.85,1.87,1.99
P1,12/29/2024,03:30:00 PM,Farense,Guimaraes,2,2,D,1,0,H,6,27,2,12,12,15,6,9,2,3,0,0,4.2,3.55,1.88,2.1,1.75,1.97,1.88
P1,12/29/2024,03:30:00 PM,Rio Ave,Nacional,2,1,H,1,1,D,20,13,7,2,10,14,11,6,0,1,0,0,2.2,3.13,3.61,2.1,1.75,1.88,1.98
P1,12/29/2024,06:00:00 PM,Sp Braga,Casa Pia,1,2,A,1,1,D,16,8,6,4,9,14,10,2,2,3,0,0,1.4,4.66,7.69,1.83,2.02,1.97,1.88
P1,12/29/2024,08:30:00 PM,Sp Lisbon,Benfica,1,0,H,1,0,H,12,14,6,2,13,14,4,8,2,3,0,0,2.53,3.63,2.64,1.7,2.18,1.88,1.97
P1,12/30/2024,08:15:00 PM,Famalicao,Santa Clara,1,2,A,0,1,A,18,7,5,3,11,13,5,4,3,3,0,0,2.72,2.93,2.94,2.76,1.45,1.85,2.01
P1,01/03/2025,08:15:00 PM,Guimaraes,Sp Lisbon,4,4,D,1,2,A,15,9,5,5,12,14,6,2,4,5,0,0,4.07,3.61,1.95,1.97,1.92,1.94,1.96
P1,01/04/2025,03:30:00 PM,Moreirense,AVS,1,1,D,1,1,D,11,17,5,2,13,18,3,9,3,5,0,0,1.85,3.31,4.73,2.53,1.54,1.87,2
P1,01/04/2025,06:00:00 PM,Benfica,Sp Braga,1,2,A,0,2,A,21,6,5,2,8,11,8,2,4,3,0,0,1.42,4.84,6.75,1.59,2.4,1.95,1.92
P1,01/04/2025,08:30:00 PM,Boavista,Arouca,1,3,A,0,1,A,14,14,2,5,8,18,3,3,5,7,1,0,2.79,3.21,2.64,2.32,1.63,1.99,1.88
P1,01/05/2025,03:30:00 PM,Santa Clara,Farense,0,0,D,0,0,D,17,2,6,1,16,15,13,2,3,4,0,1,1.67,3.45,5.97,2.37,1.6,1.9,1.95
P1,01/05/2025,06:00:00 PM,Casa Pia,Famalicao,1,1,D,1,1,D,6,19,3,14,11,6,5,7,3,3,1,0,2.4,3.06,3.27,2.55,1.52,2.04,1.83
P1,01/05/2025,08:30:00 PM,Estrela,Estoril,2,4,A,0,3,A,8,14,4,8,20,18,3,3,2,1,0,0,2.33,2.94,3.55,2.33,1.62,1.97,1.88
P1,01/06/2025,08:15:00 PM,Gil Vicente,Rio Ave,1,1,D,1,0,H,13,14,4,4,8,13,4,4,2,3,0,0,2.23,3.06,3.63,2.17,1.7,1.89,1.96
P1,01/12/2025,03:30:00 PM,Nacional,Porto,2,0,H,2,0,H,7,13,4,3,8,11,1,10,3,6,0,0,8.81,5.23,1.36,1.8,2.09,1.8,2.11
P1,01/17/2025,08:15:00 PM,Benfica,Famalicao,4,0,H,2,0,H,21,1,12,0,13,8,7,2,3,0,0,0,1.23,6.6,12.43,1.56,2.51,1.95,1.93
P1,01/18/2025,03:30:00 PM,Santa Clara,Estoril,2,3,A,1,2,A,15,8,5,3,14,16,7,1,2,2,0,0,1.72,3.57,5.19,2.46,1.56,1.97,1.89
P1,01/18/2025,06:00:00 PM,Rio Ave,Sp Lisbon,0,3,A,0,2,A,2,29,0,13,16,11,0,8,1,1,0,0,9.21,5.87,1.28,1.54,2.52,2.02,1.86
P1,01/18/2025,08:30:00 PM,Guimaraes,Arouca,2,2,D,2,0,H,17,19,7,6,13,9,9,5,1,3,0,0,1.55,4.09,6.01,1.97,1.88,1.99,1.88
P1,01/19/2025,03:30:00 PM,Moreirense,Farense,0,0,D,0,0,D,14,5,4,0,16,14,6,3,2,4,0,0,1.91,3.23,4.55,2.57,1.51,1.92,1.93
P1,01/19/2025,03:30:00 PM,Nacional,AVS,3,1,H,3,1,H,17,13,7,3,12,14,4,6,2,4,0,0,2.08,3.27,3.79,2.3,1.63,1.79,2.09
P1,01/19/2025,06:00:00 PM,Estrela,Sp Braga,0,1,A,0,0,D,7,13,3,5,21,9,1,8,3,1,0,0,4.83,3.93,1.68,1.85,1.99,1.96,1.89
P1,01/19/2025,08:30:00 PM,Gil Vicente,Porto,3,1,H,1,0,H,8,18,3,3,10,18,4,6,3,6,0,1,8.19,4.62,1.39,1.98,1.86,1.91,1.94
P1,01/20/2025,08:15:00 PM,Boavista,Casa Pia,2,3,A,1,2,A,10,9,5,6,13,14,2,3,3,2,1,0,3.27,3.16,2.34,2.43,1.57,1.85,2
P1,01/24/2025,08:15:00 PM,Arouca,Moreirense,1,0,H,0,0,D,16,7,5,1,18,11,10,2,3,0,0,0,2.43,3.13,3.32,2.64,1.52,2.06,1.85
P1,01/25/2025,03:30:00 PM,Famalicao,Estrela,0,0,D,0,0,D,10,4,2,1,14,15,5,2,1,3,0,0,1.87,3.41,4.45,2.28,1.64,1.88,1.98
P1,01/25/2025,03:30:00 PM,Farense,Rio Ave,1,2,A,0,1,A,15,9,5,2,16,10,9,2,5,4,0,0,2.6,3.03,3,2.42,1.57,1.8,2.09
P1,01/25/2025,06:00:00 PM,Casa Pia,Benfica,3,1,H,1,1,D,8,19,3,7,12,10,2,9,2,0,0,0,8.44,4.96,1.36,1.74,2.11,1.98,1.88
P1,01/25/2025,08:30:00 PM,Sp Lisbon,Nacional,2,0,H,1,0,H,15,3,5,1,12,16,6,2,1,1,0,0,1.13,9.58,15.32,1.37,3.01,1.96,1.89
P1,01/26/2025,03:30:00 PM,Estoril,Guimaraes,1,0,H,0,0,D,13,7,5,2,17,20,2,5,3,3,0,0,4.31,3.64,1.83,2.03,1.81,2.02,1.84
P1,01/26/2025,06:00:00 PM,Porto,Santa Clara,1,1,D,0,1,A,21,2,7,1,12,23,7,2,0,0,0,0,1.46,4.12,7.64,2.16,1.71,1.83,2.03
P1,01/26/2025,08:30:00 PM,Sp Braga,Boavista,3,0,H,2,0,H,15,9,5,3,12,7,11,3,2,0,0,1,1.21,6.51,12.48,1.55,2.45,1.83,2.01
P1,01/27/2025,08:15:00 PM,AVS,Gil Vicente,1,0,H,0,0,D,8,10,1,0,17,10,1,8,3,1,0,0,2.97,3.1,2.57,2.39,1.59,2.08,1.79
P1,01/31/2025,08:15:00 PM,Boavista,Famalicao,0,2,A,0,1,A,4,20,1,4,12,16,2,7,3,1,0,0,3.68,3.08,2.28,2.63,1.53,1.97,1.93
P1,02/01/2025,03:30:00 PM,Nacional,Arouca,1,2,A,1,2,A,19,11,4,6,15,20,3,3,5,1,0,1,2.58,3.16,2.9,2.28,1.66,1.83,2.06
P1,02/01/2025,03:30:00 PM,Santa Clara,Casa Pia,2,1,H,0,1,A,16,5,6,2,10,10,5,2,2,2,0,0,2.12,3.07,3.95,2.76,1.46,1.81,2.08
P1,02/01/2025,06:00:00 PM,Gil Vicente,Estoril,1,2,A,1,1,D,9,19,6,6,12,14,3,3,0,1,1,0,2.18,3.1,3.71,2.25,1.67,1.87,2.01
P1,02/01/2025,08:30:00 PM,Guimaraes,AVS,2,0,H,0,0,D,14,4,8,1,14,20,8,2,1,5,0,1,1.37,4.78,8.4,1.88,1.97,1.85,2.02
P1,02/02/2025,06:00:00 PM,Sp Lisbon,Farense,3,1,H,2,1,H,21,6,7,2,12,8,9,1,1,0,0,0,1.12,9.63,16.02,1.41,2.86,1.96,1.88
P1,02/02/2025,08:30:00 PM,Estrela,Benfica,2,3,A,1,3,A,7,14,3,8,14,17,0,7,3,2,0,0,8.97,5.98,1.27,1.6,2.37,2.04,1.81
P1,02/03/2025,06:45:00 PM,Moreirense,Sp Braga,1,2,A,1,0,H,10,13,6,5,18,11,1,9,2,1,0,0,4.08,3.49,1.93,2.09,1.75,1.92,1.93
P1,02/03/2025,08:45:00 PM,Rio Ave,Porto,2,2,D,1,0,H,9,23,3,8,18,8,3,5,1,3,1,0,7.28,4.68,1.42,1.78,2.06,1.85,2.01
P1,02/07/2025,08:15:00 PM,Porto,Sp Lisbon,1,1,D,0,1,A,17,13,2,3,16,14,6,3,3,4,0,2,2.97,3.08,2.69,2.26,1.69,2.05,1.86
P1,02/08/2025,03:30:00 PM,AVS,Santa Clara,1,2,A,0,0,D,9,8,3,4,11,15,2,3,0,0,0,0,4.31,3.16,1.99,2.72,1.48,1.87,2
P1,02/08/2025,06:00:00 PM,Benfica,Moreirense,3,2,H,3,1,H,11,8,6,4,14,10,6,6,0,1,0,0,1.18,7.16,13.83,1.58,2.37,2.03,1.83
P1,02/08/2025,08:30:00 PM,Famalicao,Guimaraes,0,0,D,0,0,D,8,7,2,2,16,19,4,11,3,2,0,0,3.18,3.04,2.46,2.41,1.58,1.79,2.1
P1,02/09/2025,03:30:00 PM,Estoril,Boavista,2,1,H,1,0,H,13,9,5,5,25,12,5,3,2,1,0,0,1.54,4.09,6.18,2.1,1.75,1.97,1.88
P1,02/09/2025,03:30:00 PM,Farense,Nacional,0,2,A,0,0,D,21,11,6,4,16,15,12,3,1,4,1,1,2.35,3.18,3.24,2.25,1.66,2.01,1.85
P1,02/09/2025,06:00:00 PM,Sp Braga,Gil Vicente,2,0,H,1,0,H,14,6,6,4,18,9,4,2,0,0,0,1,1.54,4.13,6.04,1.9,1.93,1.98,1.87
P1,02/09/2025,08:30:00 PM,Casa Pia,Estrela,1,0,H,1,0,H,15,13,4,3,17,16,5,2,4,4,0,0,1.85,3.39,4.62,2.36,1.6,1.85,2
P1,02/10/2025,08:15:00 PM,Arouca,Rio Ave,1,1,D,0,0,D,16,12,4,4,20,10,6,3,0,1,0,0,1.98,3.36,4.03,2.14,1.72,1.99,1.87
P1,02/14/2025,08:15:00 PM,Boavista,Estrela,0,1,A,0,1,A,14,9,1,6,23,17,7,4,2,2,0,0,2.6,2.96,3.23,2.65,1.52,2.19,1.76
P1,02/15/2025,03:30:00 PM,Moreirense,Casa Pia,3,2,H,3,0,H,10,15,5,4,17,16,4,5,0,0,0,0,2.35,3.03,3.4,2.58,1.52,2,1.87
P1,02/15/2025,05:00:00 PM,Nacional,Estoril,2,2,D,1,1,D,18,7,6,4,15,14,7,3,3,3,0,0,2.22,3.26,3.41,2.19,1.7,1.92,1.95
P1,02/15/2025,06:00:00 PM,Santa Clara,Benfica,0,1,A,0,0,D,10,17,3,6,21,17,2,5,6,3,1,0,5.18,3.75,1.68,2.27,1.66,1.96,1.9
P1,02/15/2025,08:30:00 PM,Sp Lisbon,Arouca,2,2,D,1,2,A,21,15,8,7,6,13,9,9,3,3,1,0,1.24,6.27,10.13,1.58,2.4,2,1.85
P1,02/16/2025,03:30:00 PM,Rio Ave,AVS,1,1,D,0,1,A,16,11,3,3,14,19,2,4,0,0,0,0,2.15,3.31,3.52,2.28,1.64,1.85,2.01
P1,02/16/2025,06:00:00 PM,Farense,Porto,0,1,A,0,0,D,8,11,2,2,15,10,2,4,4,2,1,0,7.94,4.63,1.4,1.93,1.9,1.88,1.97
P1,02/16/2025,08:30:00 PM,Guimaraes,Sp Braga,0,0,D,0,0,D,16,6,3,3,11,15,7,4,5,3,0,0,2.46,3.51,2.8,2.06,1.78,1.81,2.06
P1,02/17/2025,08:15:00 PM,Gil Vicente,Famalicao,0,2,A,0,1,A,14,20,2,6,11,19,5,11,2,2,0,0,2.59,2.93,3.11,2.6,1.5,1.76,2.13
P1,02/21/2025,08:15:00 PM,Sp Braga,Nacional,1,0,H,1,0,H,20,8,7,3,14,14,7,6,1,2,0,0,1.58,4.1,6.14,1.78,2.12,2.02,1.88
P1,02/22/2025,03:30:00 PM,Casa Pia,Gil Vicente,1,0,H,0,0,D,10,4,1,0,14,10,2,5,1,2,0,0,2.23,3.11,3.57,2.5,1.55,1.91,1.96
P1,02/22/2025,06:00:00 PM,Benfica,Boavista,3,0,H,1,0,H,31,6,14,2,10,7,13,2,0,3,0,1,1.1,10.36,20.94,1.33,3.28,1.93,1.92
P1,02/22/2025,08:30:00 PM,Estoril,Rio Ave,2,1,H,0,0,D,11,9,4,4,14,9,0,4,2,1,0,0,2.06,3.37,3.73,2.07,1.78,2.08,1.81
P1,02/23/2025,03:30:00 PM,Arouca,Farense,2,2,D,0,1,A,12,17,6,7,16,16,4,9,2,3,0,0,1.88,3.43,4.33,2.21,1.68,1.89,1.96
P1,02/23/2025,03:30:00 PM,Estrela,Santa Clara,0,0,D,0,0,D,10,4,2,1,13,19,5,2,3,1,0,0,3.57,3.16,2.2,2.89,1.41,1.97,1.88
P1,02/23/2025,06:00:00 PM,AVS,Sp Lisbon,2,2,D,0,2,A,11,9,4,3,22,13,4,5,5,5,0,1,9.1,5.32,1.32,1.74,2.12,1.85,2.01
P1,02/23/2025,08:30:00 PM,Famalicao,Moreirense,2,0,H,0,0,D,17,8,4,6,19,17,3,1,3,3,0,0,2.21,3.05,3.7,2.6,1.5,1.88,1.98
P1,02/24/2025,08:15:00 PM,Porto,Guimaraes,1,1,D,0,0,D,13,11,2,5,20,16,6,7,2,2,0,0,1.68,3.7,5.24,2.12,1.74,1.9,1.94
P1,03/01/2025,03:30:00 PM,Nacional,Famalicao,2,1,H,1,0,H,15,15,5,3,18,12,1,6,3,4,0,0,2.6,3.11,2.92,2.27,1.66,1.83,2.06
P1,03/01/2025,06:00:00 PM,Arouca,Porto,0,2,A,0,1,A,6,9,2,2,13,12,4,2,2,2,0,0,5.07,3.79,1.68,1.99,1.86,1.95,1.92
P1,03/01/2025,08:30:00 PM,Guimaraes,Casa Pia,1,0,H,0,0,D,18,10,6,2,9,18,7,2,3,1,0,0,1.76,3.59,4.83,2.21,1.68,2.04,1.84
P1,03/02/2025,03:30:00 PM,Boavista,Santa Clara,1,0,H,0,0,D,12,11,5,1,10,19,9,5,4,3,0,0,4.48,3.2,1.93,2.69,1.47,1.91,1.94
P1,03/02/2025,03:30:00 PM,Moreirense,Estrela,1,1,D,0,0,D,11,7,2,1,20,13,4,1,2,4,0,0,1.93,3.01,4.94,2.55,1.52,1.93,1.92
P1,03/02/2025,06:00:00 PM,Farense,AVS,0,1,A,0,0,D,17,6,4,3,24,12,7,1,2,2,0,0,2.32,3.02,3.48,2.59,1.51,1.96,1.88
P1,03/02/2025,08:30:00 PM,Rio Ave,Sp Braga,2,1,H,1,1,D,13,14,7,7,9,13,2,5,2,5,0,0,4.14,3.85,1.81,1.84,2,2.05,1.82
P1,03/03/2025,08:15:00 PM,Sp Lisbon,Estoril,3,1,H,2,0,H,13,8,6,2,10,10,6,6,1,1,0,1,1.18,7.3,12.69,1.45,2.72,2.02,1.83
P1,03/07/2025,08:15:00 PM,Estrela,Gil Vicente,1,1,D,0,0,D,8,10,3,2,22,10,7,7,5,2,0,0,2.76,2.94,2.97,2.61,1.52,1.87,2.02
P1,03/08/2025,03:30:00 PM,AVS,Arouca,0,1,A,0,0,D,9,20,1,8,15,17,1,7,1,1,0,0,3.2,3.1,2.48,2.33,1.64,1.81,2.1
P1,03/08/2025,06:00:00 PM,Benfica,Nacional,3,0,H,2,0,H,18,12,12,3,11,11,5,3,0,3,0,0,1.21,6.69,12.08,1.49,2.62,2.06,1.81
P1,03/08/2025,06:00:00 PM,Estoril,Farense,2,2,D,0,0,D,13,14,4,4,17,18,4,7,2,1,0,0,2.13,3.16,3.76,2.29,1.64,1.83,2.05
P1,03/08/2025,08:30:00 PM,Sp Braga,Porto,1,0,H,1,0,H,7,7,4,3,16,14,7,3,2,4,1,0,3.33,3.37,2.21,2.02,1.85,1.95,1.92
P1,03/09/2025,03:30:00 PM,Santa Clara,Moreirense,1,1,D,0,0,D,13,9,5,3,15,11,4,3,1,2,0,0,2.02,3.08,4.3,2.79,1.45,2.03,1.83
P1,03/09/2025,06:00:00 PM,Casa Pia,Sp Lisbon,1,3,A,1,2,A,10,17,3,6,9,10,4,4,4,3,0,0,6.17,4.33,1.51,1.82,2.02,1.99,1.87
P1,03/09/2025,08:30:00 PM,Boavista,Guimaraes,1,2,A,1,0,H,7,19,4,8,17,16,2,7,2,1,0,0,5.67,3.68,1.65,2.27,1.65,2,1.85
P1,03/10/2025,08:15:00 PM,Famalicao,Rio Ave,1,0,H,1,0,H,16,13,7,4,22,13,5,1,1,2,0,0,1.97,2.95,4.85,2.21,1.68,1.98,1.87
P1,03/15/2025,03:30:00 PM,Farense,Sp Braga,0,1,A,0,0,D,11,10,3,4,19,14,12,4,2,1,0,0,4.5,3.36,1.88,2.27,1.65,1.98,1.89
P1,03/15/2025,03:30:00 PM,Gil Vicente,Santa Clara,0,1,A,0,1,A,12,3,2,1,12,21,5,0,2,2,0,0,3.05,2.97,2.6,2.97,1.39,2.11,1.79
P1,03/15/2025,06:00:00 PM,Porto,AVS,2,0,H,1,0,H,20,8,10,2,19,8,4,3,3,4,0,1,1.23,6.2,11.82,1.67,2.23,1.98,1.88
P1,03/15/2025,08:30:00 PM,Sp Lisbon,Famalicao,3,1,H,1,1,D,18,9,9,3,10,13,11,4,4,1,1,0,1.31,5.06,10.5,1.68,2.21,1.9,1.96
P1,03/16/2025,03:30:00 PM,Arouca,Estoril,1,1,D,1,0,H,3,12,1,3,14,14,3,4,0,1,0,0,2,3.41,3.87,2.07,1.77,2.01,1.85
P1,03/16/2025,03:30:00 PM,Nacional,Casa Pia,3,1,H,1,0,H,14,10,6,3,11,13,2,5,2,1,0,0,2.44,3.28,2.99,2.26,1.65,2.1,1.78
P1,03/16/2025,06:00:00 PM,Rio Ave,Benfica,2,3,A,0,1,A,7,20,2,8,16,12,3,11,3,1,1,0,8.1,5.22,1.35,1.58,2.4,1.77,2.09
P1,03/16/2025,08:30:00 PM,Guimaraes,Estrela,2,0,H,1,0,H,12,9,6,0,15,17,8,2,1,2,0,0,1.44,4.11,8.26,2.11,1.75,1.81,2.06
P1,03/16/2025,08:30:00 PM,Moreirense,Boavista,1,0,H,1,0,H,21,9,3,4,14,16,6,3,4,6,0,1,1.81,3.37,4.89,2.46,1.55,2.09,1.77
P1,03/28/2025,08:15:00 PM,Gil Vicente,Benfica,0,3,A,0,1,A,7,18,2,7,9,16,5,2,4,2,0,0,8.55,4.78,1.37,1.85,2.01,1.95,1.92
P1,03/29/2025,03:30:00 PM,Casa Pia,Rio Ave,2,1,H,1,1,D,11,12,3,5,19,12,7,4,5,1,0,0,2.07,3.37,3.86,2.14,1.75,2.08,1.83
P1,03/29/2025,06:00:00 PM,Estrela,Sp Lisbon,0,3,A,0,0,D,7,13,0,7,18,18,3,2,7,1,2,0,8.91,5.3,1.32,1.74,2.14,1.83,2.05
P1,03/29/2025,08:30:00 PM,Sp Braga,Arouca,2,1,H,2,0,H,14,8,5,1,12,9,7,1,2,2,0,0,1.69,3.78,4.99,1.9,1.95,1.92,1.95
P1,03/30/2025,03:30:00 PM,Famalicao,AVS,4,1,H,0,0,D,16,6,4,1,15,21,4,2,2,2,0,0,1.76,3.53,4.96,2.27,1.65,2.01,1.85
P1,03/30/2025,03:30:00 PM,Santa Clara,Nacional,1,0,H,1,0,H,13,9,5,4,23,16,3,4,3,3,0,1,1.93,3.11,4.67,2.59,1.51,1.94,1.91
P1,03/30/2025,06:00:00 PM,Estoril,Porto,1,2,A,1,1,D,3,14,2,6,19,13,1,6,4,2,0,0,6.36,4.11,1.52,1.99,1.85,1.92,1.93
P1,03/30/2025,08:30:00 PM,Moreirense,Guimaraes,2,2,D,1,1,D,11,11,3,3,11,15,2,3,2,2,0,0,3.63,3.08,2.22,2.58,1.51,1.96,1.89
P1,04/01/2025,08:15:00 PM,Boavista,Gil Vicente,1,3,A,0,0,D,7,14,3,9,21,13,3,3,1,3,1,1,4.01,3.24,2.1,2.44,1.6,1.79,2.05
P1,04/02/2025,08:15:00 PM,Benfica,Farense,3,2,H,2,1,H,13,12,7,6,13,13,5,4,1,1,0,0,1.11,9.3,20.87,1.45,2.72,1.88,1.97
P1,04/04/2025,08:15:00 PM,AVS,Estoril,0,3,A,0,2,A,9,14,2,8,13,18,4,3,3,1,0,0,3.05,3.09,2.62,2.36,1.64,2.18,1.75
P1,04/05/2025,06:00:00 PM,Arouca,Famalicao,1,2,A,0,1,A,15,6,8,4,17,16,3,7,3,5,0,0,2.53,3.2,2.92,2.17,1.71,1.8,2.09
P1,04/05/2025,08:30:00 PM,Guimaraes,Santa Clara,2,0,H,1,0,H,9,15,3,5,11,16,7,6,1,2,0,0,2.02,3.12,4.22,2.74,1.47,2.04,1.84
P1,04/06/2025,03:30:00 PM,Gil Vicente,Moreirense,0,1,A,0,0,D,12,8,4,3,15,14,7,0,3,4,0,0,2.55,3,3.08,2.58,1.51,1.76,2.13
P1,04/06/2025,06:00:00 PM,Nacional,Estrela,0,1,A,0,0,D,19,12,4,3,15,14,7,5,1,2,0,0,2.11,3.17,3.84,2.37,1.6,2.11,1.76
P1,04/06/2025,08:30:00 PM,Porto,Benfica,1,4,A,0,2,A,14,14,3,5,17,11,2,6,3,1,0,0,3.01,3.21,2.46,2.05,1.8,2.14,1.74
P1,04/07/2025,06:45:00 PM,Farense,Casa Pia,0,0,D,0,0,D,11,2,5,0,18,21,13,3,4,2,0,0,2.61,3.2,2.84,2.44,1.56,1.85,2.01
P1,04/07/2025,08:15:00 PM,Rio Ave,Boavista,0,2,A,0,1,A,17,6,2,4,15,12,9,2,3,2,0,0,1.9,3.39,4.31,2.15,1.72,1.91,1.94
P1,04/07/2025,08:45:00 PM,Sp Lisbon,Sp Braga,1,1,D,1,0,H,15,9,7,3,11,21,4,0,3,5,0,1,1.53,4.29,5.82,1.76,2.09,1.93,1.93
P1,04/11/2025,08:15:00 PM,Gil Vicente,Guimaraes,0,1,A,0,0,D,7,7,1,1,12,18,1,5,1,6,0,0,4.42,3.2,2.02,2.44,1.6,1.88,2.03
P1,04/12/2025,03:30:00 PM,Boavista,Nacional,0,1,A,0,1,A,21,15,8,5,16,12,7,7,3,4,1,0,2.75,3.17,2.7,2.2,1.68,1.95,1.92
P1,04/12/2025,03:30:00 PM,Famalicao,Estoril,3,0,H,0,0,D,9,6,4,2,20,22,3,8,3,4,0,0,2.03,3.33,3.89,2.17,1.7,2.04,1.83
P1,04/12/2025,06:00:00 PM,Santa Clara,Sp Lisbon,0,1,A,0,0,D,10,7,1,4,18,11,3,3,4,2,1,1,5.99,3.79,1.6,2.18,1.71,2.08,1.81
P1,04/12/2025,08:30:00 PM,Casa Pia,Porto,0,1,A,0,1,A,5,10,2,3,12,16,4,3,2,2,0,0,5.38,3.66,1.68,2.19,1.7,1.96,1.91
P1,04/13/2025,03:30:00 PM,Estrela,Farense,0,1,A,0,0,D,13,10,3,5,22,11,7,3,1,0,0,0,2.75,3.09,2.76,2.61,1.5,1.93,1.93
P1,04/13/2025,06:00:00 PM,Benfica,Arouca,2,2,D,0,0,D,26,8,8,5,6,12,11,5,1,3,0,0,1.15,7.9,15.95,1.41,2.84,1.83,2.02
P1,04/13/2025,06:00:00 PM,Sp Braga,AVS,4,1,H,3,1,H,18,4,8,2,13,8,7,3,2,2,0,0,1.36,4.86,8.74,1.81,2.03,1.88,1.97
P1,04/13/2025,08:30:00 PM,Moreirense,Rio Ave,0,2,A,0,0,D,8,10,1,4,13,26,2,2,4,5,1,0,1.96,3.13,4.48,2.26,1.65,1.97,1.88
P1,04/18/2025,03:30:00 PM,Farense,Boavista,0,1,A,0,0,D,12,6,4,2,8,15,4,4,0,5,0,0,1.84,3.41,4.63,2.22,1.68,1.85,2.02
P1,04/18/2025,03:30:00 PM,Rio Ave,Santa Clara,1,1,D,1,0,H,8,17,3,5,15,14,6,4,2,2,0,0,2.88,3.08,2.65,2.48,1.56,2.02,1.85
P1,04/18/2025,06:00:00 PM,Porto,Famalicao,2,1,H,1,0,H,8,12,6,4,17,13,4,5,2,3,1,0,1.48,4.37,6.63,1.92,1.93,1.81,2.07
P1,04/18/2025,08:30:00 PM,Sp Lisbon,Moreirense,3,1,H,2,0,H,20,6,10,2,8,17,4,2,2,3,0,0,1.25,5.85,11.13,1.64,2.29,1.96,1.89
P1,04/19/2025,03:30:00 PM,AVS,Casa Pia,1,1,D,1,0,H,10,6,3,4,14,11,3,4,7,2,0,0,3.03,3.12,2.51,2.4,1.58,2.13,1.76
P1,04/19/2025,03:30:00 PM,Nacional,Gil Vicente,0,3,A,0,1,A,22,8,7,4,8,12,9,0,0,3,1,0,2.38,3.11,3.24,2.31,1.63,2.03,1.83
P1,04/19/2025,06:00:00 PM,Arouca,Estrela,1,0,H,0,0,D,19,8,6,4,17,16,4,4,4,4,0,0,1.97,3.31,4.13,2.18,1.7,1.98,1.88
P1,04/19/2025,06:00:00 PM,Estoril,Sp Braga,0,2,A,0,2,A,6,5,3,3,11,15,1,2,1,0,0,0,3.79,3.44,2.01,2.03,1.82,1.83,2.02
P1,04/19/2025,08:30:00 PM,Guimaraes,Benfica,0,3,A,0,1,A,17,8,6,7,10,12,7,3,2,4,0,0,5.46,3.99,1.61,1.89,1.94,2.08,1.79
